"family_id","dataset","context","role","contrast","contrast_type","pathway","set_size","overlap_genes","coverage_fraction","eligible","camera_n_genes","camera_direction","camera_p_value","camera_fdr","score_effect","score_standardized_effect","score_t","score_p_value","score_fdr","score_direction"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Protein Secretion",96,91,0.947916666666667,TRUE,91,"DOWN",0.0589223865664895,0.123880267473265,-0.00502655875883995,-3.17435647859868,-2.88714445711558,0.0115765411641077,0.0175402138850117,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Interferon Alpha Response",97,92,0.948453608247423,TRUE,92,"UP",9.24025559610479e-61,4.62012779805239e-59,0.0906895190672821,12.3358736900998,17.3150866893615,9.54279969049627e-08,5.96424980656017e-07,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Interferon Gamma Response",200,159,0.795,TRUE,159,"UP",6.59190214533366e-34,1.64797553633341e-32,0.0612648247505655,12.9430963783345,19.4968929471099,5.67156891454037e-10,9.45261485756729e-09,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Apical Junction",200,146,0.73,TRUE,146,"UP",0.0215464420565996,0.0611547264452302,0.0114590555057303,4.66706487815479,5.72948538784106,4.50204889366566e-05,0.000140689027927052,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Apical Surface",44,29,0.659090909090909,TRUE,29,"UP",0.090971815630025,0.162449670767902,0.0169293091061367,14.1061001596656,10.2320668281811,4.95875338257838e-08,3.5419667018417e-07,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Hedgehog Signaling",36,26,0.722222222222222,TRUE,26,"UP",0.0773382979859462,0.14872749612682,0.0115398874261657,3.27368529282131,4.8080752276258,0.000250936850018289,0.000660360131627076,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Complement",200,140,0.7,TRUE,140,"UP",0.0356288034101465,0.0890720085253661,0.00581091180866966,2.77617750822839,3.08552236438263,0.00776904124230247,0.012530711681133,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Unfolded Protein Response",113,110,0.973451327433628,TRUE,110,"UP",3.73491287275858e-05,0.000233432054547411,0.0159920417996211,5.80606628926516,7.59907865969476,1.96262173329564e-06,8.92100787861654e-06,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","PI3K/AKT/mTOR  Signaling",105,88,0.838095238095238,TRUE,88,"DOWN",0.515236060656064,0.5854955234728,-0.00187939503947596,-4.12903078035403,-1.21361388911173,0.244247088283699,0.307263185067506,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","mTORC1 Signaling",200,193,0.965,TRUE,193,"UP",0.0129451779118298,0.0539382412992908,0.00540958053036886,1.74188946382716,2.42041294399022,0.0291150569990899,0.0415929385701285,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","E2F Targets",200,200,1,TRUE,200,"UP",0.034933775541403,0.0890720085253661,0.0062158739093725,2.51468543570649,3.09924507417253,0.00755698191700571,0.012530711681133,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Myc Targets V1",200,199,0.995,TRUE,199,"UP",0.348076352423027,0.470373449220306,0.0056604700841858,1.63585723673278,2.38434396624099,0.0312221915998906,0.043364154999848,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Myc Targets V2",58,55,0.948275862068966,TRUE,55,"UP",0.446217522969562,0.557771903711952,0.00214993847368296,0.652977831062656,0.931743193739231,0.366687409103504,0.436532629885124,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Epithelial Mesenchymal Transition",200,174,0.87,TRUE,174,"UP",5.46221856634354e-08,5.46221856634354e-07,0.0140135485471669,8.20207051265188,7.90275356065883,1.23263932455494e-06,6.16319662277468e-06,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Inflammatory Response",200,123,0.615,TRUE,123,"UP",1.58759175625675e-06,1.32299313021395e-05,0.0221995011608035,11.2640680091388,12.0217507250578,6.01473894153418e-09,7.51842367691772e-08,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Xenobiotic Metabolism",200,139,0.695,TRUE,139,"UP",0.0183555260617785,0.0573610189430577,0.00694171769709577,3.3456366744977,3.6969076893683,0.00225783831270579,0.00451567662541159,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Fatty Acid Metabolism",158,126,0.79746835443038,TRUE,126,"UP",0.568391958094847,0.631546620105386,0.0017631128858904,0.641472198857615,0.838629556839533,0.41525576753199,0.472890207278796,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Oxidative Phosphorylation",200,199,0.995,TRUE,199,"DOWN",0.0594625283871674,0.123880267473265,-0.00461275867364205,-0.849117186045065,-1.23703047564766,0.245810548054005,0.307263185067506,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Glycolysis",200,164,0.82,TRUE,164,"UP",0.000249222552731045,0.00124611276365523,0.0141216510775439,6.57703636864091,7.43271445123589,2.5448453709194e-06,9.78786681122847e-06,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Reactive Oxygen Species Pathway",49,45,0.918367346938776,TRUE,45,"UP",0.192722872085836,0.292004351645206,0.00779100252894369,2.00285651710406,3.04377133719665,0.00859901116692434,0.0134359549483193,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","p53 Pathway",200,179,0.895,TRUE,179,"UP",0.010112187710284,0.0459644895922002,0.00922070970746112,3.66391094657814,4.56271400713543,0.000403592706261927,0.00100898176565482,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","UV Response Up",158,130,0.822784810126582,TRUE,130,"UP",0.126665192886202,0.218388263596901,0.00676699018667933,2.55495247417041,3.27419648439187,0.00530708131011586,0.00947693091092118,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","UV Response Dn",144,139,0.965277777777778,TRUE,139,"UP",0.770634349273591,0.819823775822969,-0.00158656792074924,-0.743824594592164,-0.836997087047419,0.416143382405341,0.472890207278796,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Angiogenesis",36,26,0.722222222222222,TRUE,26,"UP",5.05216916662344e-11,8.42028194437241e-10,0.0315139006227565,17.9388125589051,17.6433472086417,3.2082848050606e-11,8.02071201265149e-10,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","heme Metabolism",200,156,0.78,TRUE,156,"DOWN",0.083533946202202,0.154692492967041,-0.00502187712835858,-5.97150457303538,-3.15364562892205,0.00677121959291416,0.0116745165395072,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Coagulation",138,84,0.608695652173913,TRUE,84,"DOWN",0.210464618480937,0.30950679188373,-0.00143187276771861,-0.447003307288351,-0.630057395473189,0.538436011456187,0.585256534191507,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","IL-2/STAT5 Signaling",199,149,0.748743718592965,TRUE,149,"UP",0.0714787309381872,0.142957461876374,0.00641371010331487,3.97417303101087,3.66776849723469,0.00239456958233021,0.00460494150448118,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Bile Acid Metabolism",112,71,0.633928571428571,TRUE,71,"UP",0.513315834731995,0.5854955234728,0.00397854668629587,1.89421253605412,2.11007683509078,0.0526255692022954,0.0692441700030203,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Peroxisome",104,83,0.798076923076923,TRUE,83,"UP",0.461490607209703,0.562793423426467,0.000322316553533597,0.154251067030582,0.171245502122235,0.866391766599629,0.89311615277596,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Allograft Rejection",200,106,0.53,TRUE,106,"UP",0.000170405570050124,0.000946697611389579,0.0144259302733515,4.83367728794719,6.58988465570274,1.00374169423224e-05,3.3458056474408e-05,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Spermatogenesis",135,70,0.518518518518518,TRUE,70,"DOWN",0.979630437306698,0.988452081941531,4.31632700493567e-05,0.0136038011421535,0.0190916476539899,0.985027586783803,0.985027586783803,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","KRAS Signaling Up",200,126,0.63,TRUE,126,"UP",0.47324233618863,0.563383733557893,0.00145515608206352,0.765995736889675,0.796916894383612,0.438322891598857,0.487025435109841,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","KRAS Signaling Dn",200,76,0.38,TRUE,76,"UP",0.312358938772516,0.433831859406272,0.0164544050556077,5.10646687270925,7.216891460238,3.58388836322517e-06,1.27996012972328e-05,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFTeDA_vs_Vehicle","PFTeDA_CONTEXT_SUMMARY","Pancreas Beta Cells",40,13,0.325,TRUE,13,"UP",0.221250396556948,0.316071995081355,0.0197040036612228,2.93238624927893,4.10028186400007,0.00325974991892667,0.00603657392393827,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","TNF-alpha Signaling via NF-kB",200,171,0.855,TRUE,171,"UP",0.000322216346298811,0.00322216346298811,0.0075096846501871,3.52311500329466,3.96268100920715,0.00132312321926277,0.00735068455145986,"UP"
