dataset,accession,sample_id,model,treatment,dose_uM,duration_h,replicate,batch,analysis_role,exclusion_reason,matrix_column,source_metadata
GSE336490,GSM9836297,GSM9836297_BEAS2B_PFTeDA_2,BEAS2B,PFTeDA,6160.0,24.0,2,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836297_BEAS2B_PFTeDA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836298,GSM9836298_BEAS2B_PFTeDA_3,BEAS2B,PFTeDA,6160.0,24.0,3,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836298_BEAS2B_PFTeDA_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836299,GSM9836299_HaCaT_Con_1,HaCaT,Vehicle,0.0,24.0,1,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836299_HaCaT_Con_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836300,GSM9836300_HaCaT_Con_2,HaCaT,Vehicle,0.0,24.0,2,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836300_HaCaT_Con_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836301,GSM9836301_HaCaT_Con_3,HaCaT,Vehicle,0.0,24.0,3,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836301_HaCaT_Con_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836323,GSM9836323_HaCaT_PFOA_1,HaCaT,PFOA,38.01,24.0,1,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836323_HaCaT_PFOA_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836324,GSM9836324_HaCaT_PFOA_2,HaCaT,PFOA,38.01,24.0,2,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836324_HaCaT_PFOA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836325,GSM9836325_HaCaT_PFOA_3,HaCaT,PFOA,38.01,24.0,3,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836325_HaCaT_PFOA_3,GEO family SOFT + supplementary count file
GSE336490,GSM9836326,GSM9836326_HaCaT_PFTeDA_1,HaCaT,PFTeDA,20.41,24.0,1,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836326_HaCaT_PFTeDA_1,GEO family SOFT + supplementary count file
GSE336490,GSM9836327,GSM9836327_HaCaT_PFTeDA_2,HaCaT,PFTeDA,20.41,24.0,2,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836327_HaCaT_PFTeDA_2,GEO family SOFT + supplementary count file
GSE336490,GSM9836328,GSM9836328_HaCaT_PFTeDA_3,HaCaT,PFTeDA,20.41,24.0,3,R25GeR3928,DISCOVERY_PRIMARY,,GSM9836328_HaCaT_PFTeDA_3,GEO family SOFT + supplementary count file
GSE244109,GSM7807139,CardioPlate01_G13,iPSC-CM,PFOA,10.0,24.0,1,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_G13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807150,CardioPlate01_H13,iPSC-CM,PFOA,1.0,24.0,1,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_H13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807160,CardioPlate01_I13,iPSC-CM,PFOA,0.1,24.0,1,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_I13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807238,CardioPlate02_G13,iPSC-CM,PFOA,10.0,24.0,2,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_G13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807247,CardioPlate02_H13,iPSC-CM,PFOA,1.0,24.0,2,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_H13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807258,CardioPlate02_I13,iPSC-CM,PFOA,0.1,24.0,2,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_I13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807147,CardioPlate01_G21,iPSC-CM,PFTeDA,10.0,24.0,1,CardioPlate01,VALIDATION,,CardioPlate01_G21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807157,CardioPlate01_H21,iPSC-CM,PFTeDA,1.0,24.0,1,CardioPlate01,VALIDATION,,CardioPlate01_H21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807167,CardioPlate01_I21,iPSC-CM,PFTeDA,0.1,24.0,1,CardioPlate01,VALIDATION,,CardioPlate01_I21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807244,CardioPlate02_G21,iPSC-CM,PFTeDA,10.0,24.0,2,CardioPlate02,VALIDATION,,CardioPlate02_G21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807255,CardioPlate02_H21,iPSC-CM,PFTeDA,1.0,24.0,2,CardioPlate02,VALIDATION,,CardioPlate02_H21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807263,CardioPlate02_I21,iPSC-CM,PFTeDA,0.1,24.0,2,CardioPlate02,VALIDATION,,CardioPlate02_I21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807202,CardioPlate01_M16,iPSC-CM,Vehicle,0.0,24.0,1,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_M16,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807203,CardioPlate01_M18,iPSC-CM,Vehicle,0.0,24.0,3,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_M18,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807204,CardioPlate01_M19,iPSC-CM,Vehicle,0.0,24.0,4,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_M19,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807205,CardioPlate01_M20,iPSC-CM,Vehicle,0.0,24.0,5,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_M20,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807206,CardioPlate01_M21,iPSC-CM,Vehicle,0.0,24.0,6,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_M21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807207,CardioPlate01_M22,iPSC-CM,Vehicle,0.0,24.0,7,CardioPlate01,COMPARATOR_OR_CONTROL,,CardioPlate01_M22,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807298,CardioPlate02_M16,iPSC-CM,Vehicle,0.0,24.0,8,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_M16,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807299,CardioPlate02_M17,iPSC-CM,Vehicle,0.0,24.0,9,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_M17,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807300,CardioPlate02_M18,iPSC-CM,Vehicle,0.0,24.0,10,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_M18,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807301,CardioPlate02_M19,iPSC-CM,Vehicle,0.0,24.0,11,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_M19,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807302,CardioPlate02_M20,iPSC-CM,Vehicle,0.0,24.0,12,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_M20,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807303,CardioPlate02_M21,iPSC-CM,Vehicle,0.0,24.0,13,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_M21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244109,GSM7807304,CardioPlate02_M22,iPSC-CM,Vehicle,0.0,24.0,14,CardioPlate02,COMPARATOR_OR_CONTROL,,CardioPlate02_M22,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806850,HepaPlate01_G02,iPSC-Hep,PFOA,10.0,48.0,1,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_G02,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806858,HepaPlate01_G10,iPSC-Hep,PFTeDA,10.0,48.0,1,HepaPlate01,VALIDATION,,HepaPlate01_G10,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806861,HepaPlate01_G13,iPSC-Hep,PFOA,10.0,48.0,2,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_G13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806869,HepaPlate01_G21,iPSC-Hep,PFTeDA,10.0,48.0,2,HepaPlate01,VALIDATION,,HepaPlate01_G21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806872,HepaPlate01_H02,iPSC-Hep,PFOA,1.0,48.0,1,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_H02,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806880,HepaPlate01_H10,iPSC-Hep,PFTeDA,1.0,48.0,1,HepaPlate01,VALIDATION,,HepaPlate01_H10,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806883,HepaPlate01_H13,iPSC-Hep,PFOA,1.0,48.0,2,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_H13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806891,HepaPlate01_H21,iPSC-Hep,PFTeDA,1.0,48.0,2,HepaPlate01,VALIDATION,,HepaPlate01_H21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806894,HepaPlate01_I02,iPSC-Hep,PFOA,0.1,48.0,1,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_I02,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806902,HepaPlate01_I10,iPSC-Hep,PFTeDA,0.1,48.0,1,HepaPlate01,VALIDATION,,HepaPlate01_I10,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806905,HepaPlate01_I13,iPSC-Hep,PFOA,0.1,48.0,2,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_I13,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806913,HepaPlate01_I21,iPSC-Hep,PFTeDA,0.1,48.0,2,HepaPlate01,VALIDATION,,HepaPlate01_I21,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7806982,HepaPlate01_M03,iPSC-Hep,Vehicle,0.0,48.0,1,HepaPlate01,COMPARATOR_OR_CONTROL,,HepaPlate01_M03,GEO sample hash + normalized count matrix; plate-centered to matched VEH
