family_id,dataset,context,role,contrast,contrast_type,pathway,set_size,overlap_genes,coverage_fraction,eligible,camera_n_genes,camera_direction,camera_p_value,camera_fdr,score_effect,score_standardized_effect,score_t,score_p_value,score_fdr,score_direction,strong,weak,evidence_direction,evidence_class,direct_support
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_minus_PFOA,DIRECT_COMPARATOR_EFFECT_PATTERN_ONLY,mTORC1 Signaling,200,192,0.96,True,192.0,UP,0.0002178428409841,0.0015560202927438,0.0065998992639126,4.7183061021691,4.53010481739492,0.0008624455960083,0.0033170984461859,UP,True,False,UP,STRONG,SUPPORTED_DIRECT
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_minus_PFOA,DIRECT_COMPARATOR_EFFECT_PATTERN_ONLY,Myc Targets V1,200,198,0.99,True,198.0,UP,1.09933167074732e-20,2.74832917686831e-19,0.0128179139391823,8.6581644601842,8.62571105697229,3.21843501447313e-06,3.79006285708394e-05,UP,True,False,UP,STRONG,SUPPORTED_DIRECT
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_minus_PFOA,DIRECT_COMPARATOR_EFFECT_PATTERN_ONLY,Myc Targets V2,58,56,0.96551724137931,True,56.0,UP,6.46778684397152e-26,3.2338934219857602e-24,0.0414238411710838,6.79895582472487,10.3318967509816,1.16476177911382e-06,1.94126963185637e-05,UP,True,False,UP,STRONG,SUPPORTED_DIRECT
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_minus_PFOA,DIRECT_COMPARATOR_EFFECT_PATTERN_ONLY,Fatty Acid Metabolism,158,129,0.816455696202532,True,129.0,UP,0.0056576669919564,0.0257166681452566,0.0074436087049858,3.86946137864508,4.48206154326951,0.0009332877255448,0.0033331704483746,UP,True,False,UP,STRONG,SUPPORTED_DIRECT
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_minus_PFOA,DIRECT_COMPARATOR_EFFECT_PATTERN_ONLY,Oxidative Phosphorylation,200,200,1.0,True,200.0,UP,5.932892440214871e-09,9.88815406702478e-08,0.0180629761904762,9.91716986210292,11.1625599061397,2.48777966721893e-07,6.21944916804733e-06,UP,True,False,UP,STRONG,SUPPORTED_DIRECT
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_minus_PFOA,DIRECT_COMPARATOR_EFFECT_PATTERN_ONLY,UV Response Dn,144,124,0.861111111111111,True,124.0,DOWN,0.0001814630801951,0.0015560202927438,-0.0165980682439721,-6.43998816541267,-8.4808411366753,3.79006285708394e-06,3.79006285708394e-05,DOWN,True,False,DOWN,STRONG,SUPPORTED_DIRECT
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_minus_PFOA,DIRECT_COMPARATOR_EFFECT_PATTERN_ONLY,Allograft Rejection,200,110,0.55,True,110.0,UP,0.0012477901229784,0.0069321673498803,0.0070383035464653,2.79871363633299,3.65197176797231,0.0038211195616205,0.0100555777937383,UP,True,False,UP,STRONG,SUPPORTED_DIRECT
FAMILY_2,GSE244109,iPSC-CM,PRIMARY,PFTeDA_minus_PFOA_10,DIRECT_COMPARATOR,Myc Targets V1,200,189,0.945,True,189.0,DOWN,6.48043321357714e-05,0.0016201083033942,-0.170549553214252,-2.41247957715087,-2.69484687582761,0.0125565290727973,0.0609205870443046,DOWN,True,False,DOWN,STRONG,SUPPORTED_DIRECT
FAMILY_2,GSE244109,iPSC-CM,PRIMARY,PFTeDA_minus_PFOA_10,DIRECT_COMPARATOR,Oxidative Phosphorylation,200,184,0.92,True,184.0,DOWN,5.97524064492495e-07,2.98762032246248e-05,-0.185323863619796,-2.77404060260224,-3.07486227865733,0.0051314822747401,0.0609205870443046,DOWN,True,False,DOWN,STRONG,SUPPORTED_DIRECT
FAMILY_2,GSE244109,iPSC-CM,PRIMARY,PFTeDA_minus_PFOA_10,DIRECT_COMPARATOR,Peroxisome,104,87,0.836538461538462,True,87.0,DOWN,0.0020907279797921,0.0348454663298694,-0.16534131987844,-2.7347140210639,-2.98435201093351,0.0063728521514235,0.0609205870443046,DOWN,True,False,DOWN,STRONG,SUPPORTED_DIRECT
