family_id,pathway,eligible_contexts,strong_contexts,weak_contexts,family_vote,family_weak_support,R1_within_family_consistency,model_restricted,supported_context_heterogeneity,context_states
FAMILY_1,UV Response Dn,2,0,1,,DOWN,False,False,False,HIEC6:NO_EVIDENCE;HaCaT:WEAK_DOWN
FAMILY_1,UV Response Up,2,0,1,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:NO_EVIDENCE
FAMILY_1,Unfolded Protein Response,2,2,0,UP,,True,False,False,HIEC6:STRONG_UP;HaCaT:STRONG_UP
FAMILY_1,Wnt-beta Catenin Signaling,2,0,1,,UP,False,False,False,HIEC6:WEAK_UP;HaCaT:NO_EVIDENCE
FAMILY_1,Xenobiotic Metabolism,2,1,1,UP,,True,False,False,HIEC6:WEAK_UP;HaCaT:STRONG_UP
FAMILY_1,heme Metabolism,2,0,2,,DOWN,False,False,False,HIEC6:WEAK_DOWN;HaCaT:WEAK_DOWN
FAMILY_1,mTORC1 Signaling,2,1,1,UP,,True,False,False,HIEC6:WEAK_UP;HaCaT:STRONG_UP
FAMILY_1,p53 Pathway,2,2,0,UP,,True,False,False,HIEC6:STRONG_UP;HaCaT:STRONG_UP
FAMILY_2,Adipogenesis,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Allograft Rejection,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Androgen Response,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Angiogenesis,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Apical Junction,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Apical Surface,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Apoptosis,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Bile Acid Metabolism,2,0,1,,DOWN,False,False,False,iPSC-Hep:WEAK_DOWN;iPSC-CM:NO_EVIDENCE
FAMILY_2,Cholesterol Homeostasis,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,Coagulation,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Complement,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,DNA Repair,2,0,0,,,False,False,False,iPSC-Hep:NO_EVIDENCE;iPSC-CM:NO_EVIDENCE
FAMILY_2,E2F Targets,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Epithelial Mesenchymal Transition,2,1,0,UP,,False,True,False,iPSC-Hep:STRONG_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Estrogen Response Early,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
FAMILY_2,Estrogen Response Late,2,0,1,,UP,False,False,False,iPSC-Hep:WEAK_UP;iPSC-CM:NO_EVIDENCE
